date,infected,cured,death,recovered
2020.4.16,34809,4857,7562,12419
2020.4.17,36138,5163,7961,13124
2020.4.18,37183,5453,8348,13801
2020.4.19,38496,5683,8757,14440
2020.4.20,39983,5828,8895,14723
2020.4.21,40956,5998,9002,15000
2020.4.22,41889,6262,9433,15695
2020.4.23,42797,6490,9800,16290
2020.4.24,44293,6679,10122,16801
2020.4.25,45325,6917,10417,17334
2020.4.26,46134,7094,10785,17879
2020.4.27,46687,7207,10878,18085
2020.4.28,47334,7331,10943,18274
2020.4.29,47859,7501,11283,18784
2020.4.30,48519,7594,11576,19170
2020.5.01,49032,7703,11892,19595
2020.5.02,49517,7765,12211,19976
2020.5.03,49906,7844,12309,20153
2020.5.04,50267,7924,12378,20302
2020.5.05,50509,8016,12441,20457
2020.5.06,50781,8339,12731,21070
2020.5.07,51420,8415,12980,21395
2020.5.08,52011,8521,13201,21722
2020.5.09,52596,8581,13411,21992
2020.5.10,53081,8656,13642,22298
2020.5.11,53449,8707,13697,22404
2020.5.12,53779,8761,13732,22493
2020.5.13,53981,8843,13937,22780
2020.5.14,54288,8903,14111,23014
2020.5.15,54644,8959,14301,23260
2020.5.16,54989,9005,14460,23465
2020.5.17,55280,9052,14630,23682
2020.5.18,55559,9080,14657,23737
2020.5.19,55791,9108,14687,23795
2020.5.20,55983,9150,14847,23997
2020.5.21,56235,9186,14988,24174
2020.5.22,56511,9212,15123,24335
2020.5.23,56810,9237,15155,24392
2020.5.24,57092,9280,15272,24552
2020.5.25,57342,9312,15297,24609
2020.5.26,57455,9334,15320,24654
2020.5.27,57592,9364,15465,24829
2020.5.28,57849,9388,15572,24960
2020.5.29,58061,9430,15682,25112
2020.5.30,58186,9453,15769,25222
2020.5.31,58381,9467,15887,25354
2020.6.01,58517,9486,15919,25405
2020.6.02,58615,9505,15934,25439
2020.6.03,58685,9522,15959,25481
2020.6.04,58767,9548,16048,25596
2020.6.05,58907,9566,16112,25678
2020.6.06,59072,9580,16190,25770
2020.6.07,59226,9595,16291,25886
2020.6.08,59348,9606,16315,25921
2020.6.09,59437,9619,16324,25943
2020.6.10,59569,9629,16392,26021
2020.6.11,59711,9636,16453,26089
2020.6.12,59819,9646,16498,26144
2020.6.13,59918,9650,16547,26197
2020.6.14,60029,9655,16589,26244
2020.6.15,60100,9661,16610,26271
2020.6.16,60155,9663,16625,26288
2020.6.17,60244,9675,16684,26359
2020.6.18,60348,9683,16724,26407
2020.6.19,60476,9695,16751,26446
2020.6.20,60550,9696,16771,26467
2020.6.21,60550,9696,16771,26467
2020.6.22,60550,9696,16771,26467
2020.6.23,60810,9713,16771,26484
2020.6.24,60898,9722,16771,26493
2020.6.25,61007,9726,16890,26616
2020.6.26,61106,9731,16918,26649
2020.6.27,61209,9732,16941,26673
2020.6.28,61295,9732,16941,26673
2020.6.29,61361,9732,16941,26673
2020.6.30,61427,9747,16984,26731
2020.7.01,61509,9754,17021,26775
2020.7.02,61598,9761,17044,26805
2020.7.03,61727,9765,17073,26838
2020.7.04,61838,9771,17091,26862
2020.7.05,62016,9771,17091,26862
2020.7.06,62058,9774,17091,26865
2020.7.07,62058,9774,17122,26896
2020.7.08,62123,9776,17138,26914
2020.7.09,62210,9778,17159,26937
2020.7.10,62357,9781,17179,26960
2020.7.11,62469,9782,17196,26978
2020.7.12,62707,9782,17196,26978
2020.7.13,62707,9782,17196,26978
2020.7.14,62781,9787,17223,27010
2020.7.15,62872,9788,17242,27030
2020.7.16,63238,9795,17253,27048
2020.7.17,63499,9800,17289,27089
2020.7.18,63706,9800,17289,27089
2020.7.19,63706,9800,17289,27089
2020.7.20,64094,9805,17321,27126
2020.7.21,64258,9805,17330,27135
2020.7.22,64627,9808,17347,27155
2020.7.23,64847,9812,17369,27181
2020.7.24,65199,9817,17394,27211
2020.7.25,65727,9821,17425,27246
2020.7.26,66026,9821,17438,27259
2020.7.27,66428,9822,17452,27274
2020.7.28,66662,9833,17476,27309
2020.7.29,67335,9836,17491,27327
2020.7.30,68006,9840,17513,27353
2020.7.31,68751,9841,17546,27387
2020.8.01,69402,9845,17573,27418
2020.8.02,69849,9845,17590,27435
2020.8.03,70314,9850,17598,27448
2020.8.04,70648,9852,17639,27491
2020.8.05,71158,9859,17661,27520
