part_id,month,year,sday_id,dayofweek,day,wave
1200101,4,2020,2020.04.19,0,19,1
1200201,4,2020,2020.04.19,0,19,1
1200301,4,2020,2020.04.19,0,19,1
1200401,4,2020,2020.04.19,0,19,1
1200501,4,2020,2020.04.17,5,17,1
1200601,4,2020,2020.04.19,0,19,1
1200701,4,2020,2020.04.19,0,19,1
1200801,4,2020,2020.04.16,4,16,1
1200901,4,2020,2020.04.19,0,19,1
1201001,4,2020,2020.04.19,0,19,1
1201101,4,2020,2020.04.16,4,16,1
1201201,4,2020,2020.04.16,4,16,1
1201301,4,2020,2020.04.19,0,19,1
1201401,4,2020,2020.04.19,0,19,1
1201501,4,2020,2020.04.16,4,16,1
1201601,4,2020,2020.04.16,4,16,1
1201701,4,2020,2020.04.16,4,16,1
1201801,4,2020,2020.04.19,0,19,1
1201901,4,2020,2020.04.17,5,17,1
1202001,4,2020,2020.04.19,0,19,1
1202101,4,2020,2020.04.18,6,18,1
1202201,4,2020,2020.04.19,0,19,1
1202301,4,2020,2020.04.16,4,16,1
1202401,4,2020,2020.04.16,4,16,1
1202501,4,2020,2020.04.16,4,16,1
1202601,4,2020,2020.04.16,4,16,1
1202701,4,2020,2020.04.16,4,16,1
1202801,4,2020,2020.04.17,5,17,1
1202901,4,2020,2020.04.19,0,19,1
1203001,4,2020,2020.04.16,4,16,1
1203101,4,2020,2020.04.16,4,16,1
1203201,4,2020,2020.04.19,0,19,1
1203301,4,2020,2020.04.16,4,16,1
1203401,4,2020,2020.04.16,4,16,1
1203501,4,2020,2020.04.16,4,16,1
1203601,4,2020,2020.04.16,4,16,1
1203701,4,2020,2020.04.19,0,19,1
1203801,4,2020,2020.04.17,5,17,1
1203901,4,2020,2020.04.16,4,16,1
1204001,4,2020,2020.04.16,4,16,1
1204101,4,2020,2020.04.16,4,16,1
1204201,4,2020,2020.04.16,4,16,1
1204301,4,2020,2020.04.16,4,16,1
1204401,4,2020,2020.04.16,4,16,1
1204501,4,2020,2020.04.17,5,17,1
1204601,4,2020,2020.04.20,1,20,1
1204701,4,2020,2020.04.17,5,17,1
1204801,4,2020,2020.04.19,0,19,1
1204901,4,2020,2020.04.16,4,16,1
1205001,4,2020,2020.04.18,6,18,1
1205101,4,2020,2020.04.19,0,19,1
1205201,4,2020,2020.04.16,4,16,1
1205301,4,2020,2020.04.16,4,16,1
1205401,4,2020,2020.04.17,5,17,1
1205501,4,2020,2020.04.19,0,19,1
1205601,4,2020,2020.04.19,0,19,1
1205701,4,2020,2020.04.19,0,19,1
1205801,4,2020,2020.04.16,4,16,1
1205901,4,2020,2020.04.19,0,19,1
1206001,4,2020,2020.04.19,0,19,1
1206101,4,2020,2020.04.19,0,19,1
1206201,4,2020,2020.04.19,0,19,1
1206301,4,2020,2020.04.19,0,19,1
1206401,4,2020,2020.04.16,4,16,1
1206501,4,2020,2020.04.19,0,19,1
1206601,4,2020,2020.04.19,0,19,1
1206701,4,2020,2020.04.16,4,16,1
1206801,4,2020,2020.04.20,1,20,1
1206901,4,2020,2020.04.16,4,16,1
1207001,4,2020,2020.04.19,0,19,1
1207101,4,2020,2020.04.19,0,19,1
1207201,4,2020,2020.04.16,4,16,1
1207301,4,2020,2020.04.16,4,16,1
1207401,4,2020,2020.04.17,5,17,1
1207501,4,2020,2020.04.19,0,19,1
1207601,4,2020,2020.04.19,0,19,1
1207701,4,2020,2020.04.18,6,18,1
1207801,4,2020,2020.04.19,0,19,1
1207901,4,2020,2020.04.19,0,19,1
1208001,4,2020,2020.04.16,4,16,1
1208101,4,2020,2020.04.16,4,16,1
1208201,4,2020,2020.04.19,0,19,1
1208301,4,2020,2020.04.19,0,19,1
1208401,4,2020,2020.04.18,6,18,1
1208501,4,2020,2020.04.20,1,20,1
1208601,4,2020,2020.04.16,4,16,1
1208701,4,2020,2020.04.17,5,17,1
1208801,4,2020,2020.04.19,0,19,1
1208901,4,2020,2020.04.19,0,19,1
1209001,4,2020,2020.04.19,0,19,1
1209101,4,2020,2020.04.19,0,19,1
1209201,4,2020,2020.04.19,0,19,1
1209301,4,2020,2020.04.17,5,17,1
1209401,4,2020,2020.04.16,4,16,1
1209501,4,2020,2020.04.16,4,16,1
1209601,4,2020,2020.04.16,4,16,1
1209701,4,2020,2020.04.19,0,19,1
1209801,4,2020,2020.04.19,0,19,1
1209901,4,2020,2020.04.19,0,19,1
1210001,4,2020,2020.04.20,1,20,1
1210101,4,2020,2020.04.16,4,16,1
1210201,4,2020,2020.04.18,6,18,1
1210301,4,2020,2020.04.19,0,19,1
1210401,4,2020,2020.04.19,0,19,1
1210501,4,2020,2020.04.16,4,16,1
1210601,4,2020,2020.04.16,4,16,1
1210701,4,2020,2020.04.16,4,16,1
1210801,4,2020,2020.04.17,5,17,1
1210901,4,2020,2020.04.18,6,18,1
1211001,4,2020,2020.04.19,0,19,1
1211101,4,2020,2020.04.16,4,16,1
1211201,4,2020,2020.04.18,6,18,1
1211301,4,2020,2020.04.19,0,19,1
1211401,4,2020,2020.04.19,0,19,1
1211501,4,2020,2020.04.18,6,18,1
1211601,4,2020,2020.04.19,0,19,1
1211701,4,2020,2020.04.18,6,18,1
1211801,4,2020,2020.04.16,4,16,1
1211901,4,2020,2020.04.17,5,17,1
1212001,4,2020,2020.04.19,0,19,1
1212101,4,2020,2020.04.16,4,16,1
1212201,4,2020,2020.04.20,1,20,1
1212301,4,2020,2020.04.16,4,16,1
1212401,4,2020,2020.04.18,6,18,1
1212501,4,2020,2020.04.19,0,19,1
1212601,4,2020,2020.04.19,0,19,1
1212701,4,2020,2020.04.17,5,17,1
1212801,4,2020,2020.04.20,1,20,1
1212901,4,2020,2020.04.17,5,17,1
1213001,4,2020,2020.04.19,0,19,1
1213101,4,2020,2020.04.17,5,17,1
1213201,4,2020,2020.04.17,5,17,1
1213301,4,2020,2020.04.16,4,16,1
1213401,4,2020,2020.04.16,4,16,1
1213501,4,2020,2020.04.16,4,16,1
1213601,4,2020,2020.04.19,0,19,1
1213701,4,2020,2020.04.17,5,17,1
1213801,4,2020,2020.04.19,0,19,1
1213901,4,2020,2020.04.19,0,19,1
1214001,4,2020,2020.04.16,4,16,1
1214101,4,2020,2020.04.16,4,16,1
1214201,4,2020,2020.04.19,0,19,1
1214301,4,2020,2020.04.17,5,17,1
1214401,4,2020,2020.04.16,4,16,1
1214501,4,2020,2020.04.19,0,19,1
1214601,4,2020,2020.04.17,5,17,1
1214701,4,2020,2020.04.19,0,19,1
1214801,4,2020,2020.04.16,4,16,1
1214901,4,2020,2020.04.17,5,17,1
1215001,4,2020,2020.04.16,4,16,1
1215101,4,2020,2020.04.16,4,16,1
1215201,4,2020,2020.04.17,5,17,1
1215301,4,2020,2020.04.19,0,19,1
1215401,4,2020,2020.04.19,0,19,1
1215501,4,2020,2020.04.16,4,16,1
1215601,4,2020,2020.04.19,0,19,1
1215701,4,2020,2020.04.16,4,16,1
1215801,4,2020,2020.04.20,1,20,1
1215901,4,2020,2020.04.19,0,19,1
1216001,4,2020,2020.04.19,0,19,1
1216101,4,2020,2020.04.17,5,17,1
